"No.","Time","Source","Destination","Protocol","Length","Info"
"50","4.114288","211.222.25.99","192.168.1.201","TLSv1.2","84","Application Data"
"51","4.164443","192.168.1.201","211.222.25.99","TCP","54","10560  >  22000 [ACK] Seq=1 Ack=31 Win=8193 Len=0"
"52","4.172206","192.168.1.201","211.222.25.99","TCP","66","11755  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"53","4.173135","211.222.25.99","192.168.1.201","TCP","66","80  >  11755 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"54","4.173200","192.168.1.201","211.222.25.99","TCP","54","11755  >  80 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"55","4.174343","192.168.1.201","211.222.25.99","HTTP","132","GET / HTTP/1.1 "
"56","4.175195","211.222.25.99","192.168.1.201","TCP","60","80  >  11755 [ACK] Seq=1 Ack=79 Win=29312 Len=0"
"57","4.175687","211.222.25.99","192.168.1.201","HTTP","415","HTTP/1.1 301 Moved Permanently  (text/html)"
"58","4.179906","192.168.1.201","211.222.25.99","TCP","54","11755  >  80 [FIN, ACK] Seq=79 Ack=362 Win=2097408 Len=0"
"59","4.180955","211.222.25.99","192.168.1.201","TCP","60","80  >  11755 [FIN, ACK] Seq=362 Ack=80 Win=29312 Len=0"
"60","4.180976","192.168.1.201","211.222.25.99","TCP","54","11755  >  80 [ACK] Seq=80 Ack=363 Win=2097408 Len=0"
